קמח,שמן,מים,קרח,טמפרטורה סופית
30,28.8,11,6,27.1
30,28.9,11,6,27.3
30.2,28.9,12,6,27
30,28.9,12,10,24.8
30.1,28.8,11,8,26
29.8,28.9,12,10,25.8
29.8,25,12,6,26.7
30,24.8,16,6,27.5
29.7,24.8,14,10,25.3
29.5,24.8,21,10,25.9
29.3,24.8,7,10,23.9
29.1,24.8,4,10,23.5
28.7,24.8,6,10,24.2
27.3,24.7,4,5.5,26.2
27.2,24.7,4,5.5,26.4
27.3,24.7,3,10,23.8
27,24.7,3,10,23.9
26.9,24.7,3,8,23.4
26.8,24.7,3,8,23.4
26.5,24.7,3,10,22.8
26.5,24.7,3,10,24.1
26.8,24.7,3,10,24.2
26.6,24.7,3,10,24
26.3,24.7,3,10,23.8
30.3,25.5,3,8,25.2
30.3,25.5,4,6,26.7
30.3,25.6,4,6,26.8
30.2,25.6,4,10,25
30,25.6,3,10,24.8
30,25.6,3,10,24.9
29.7,25.6,3,10,24.6
29.5,25.6,3,10,24.3
28.9,24,3,6,25.9
28.7,24,3,10,24.4
28.7,24,3,10,24.2
28.5,24,3,10,24
27.8,24,3,10,23.9
27.2,24,3,10,23.9
30.6,24,4,10,24.3
30.7,24,4,10,24.4
30.7,24,3,10,24.7
30.7,24,3,10,24.6
30.7,24,3,10,24.3
30.6,27,3,6,26.1
30.1,27,3,10,23.8
30.2,25.9,3,6,24.7
30,25.7,3,8,24
29.9,25.7,3,8,24.2
29.9,25.7,3,8,24
30.1,26.3,3,6,25.7
29.3,26,6,6,25.3
29.2,26.1,6,6,25.3
29,26.1,5,10,23.6
29,26.1,5,10,23.5
28.8,26.1,5,10,23.5
28.2,26.1,4,10,23.1
28.3,26.1,3,10,23.1
28.2,26.1,4,10,23.4
28.3,26.1,3,10,23.3
28.1,26.1,3,10,23
28,26.1,3,10,23
27.9,26.1,4,10,22.8
28,26.1,3,10,23
27.9,26.1,4,10,24
29,27,4,7,25
29,27,6,9,24.7
29,26.7,7,7,25.7
28.7,26.7,5,7,24.5
28.5,26.7,5,10,23.8
28.4,26.3,5,6,25.2
28.5,26.3,4,10,24
28.3,26.3,4,10,23.7
27.8,26.3,4,10,22
27.5,26.3,5,10,22.8
27.5,24,3,11,24.2
30.5,24,4,9,22.4
29.7,24,4,9,23
30.1,24,3,9,24.5
29,27,6,7,25.7
29,27,8,9,24.5
20.6,18.6,11.6,9,21.3
20.4,18.6,11.6,10,20.8
20.3,18.6,11.3,6.5,23.7
22.1,18.5,11,7.5,28.5
20.1,19.1,10.8,7.5,22.1
22.2,15.9,10.1,7.5,24
21.5,16.3,10.8,7.5,23.7
21.1,15.8,10.3,7.5,23
20.5,16.1,9.9,7,22.1
20.1,16.1,9.8,10,21.2
20,16.1,10,10,21.6
21.1,16.1,10.5,10,21.4
21,16.1,10.6,10,21.2
21.1,16.5,10.5,7.5,22.6
21.1,16.5,10.6,10,20.6
20.9,16.5,9.9,10,20.5
21,16.5,9.8,10,20.3
20.8,16.5,10,10,20.6
21,16.5,9.9,10,20.2
20.8,16.3,10,7.5,21.7
20.3,15.8,9.7,10,20
20.3,16,9.9,7.5,21.5
20.3,16,10,7.5,21.3
21,16.2,10.2,7.5,22
20.9,16.2,10.3,7.5,22.1
20.6,18.6,11.6,9,21.3
20.4,18.6,11.6,10,20.8
20.3,18.6,11.3,6.5,23.7
22.1,18.5,11,7.5,28.5
20.1,19.1,10.8,7.5,22.1
22.2,15.9,10.1,7.5,24
21.5,16.3,10.8,7.5,23.7
21.1,15.8,10.3,7.5,23
20.5,16.1,9.9,7,22.1
20.1,16.1,9.8,10,21.2
20,16.1,10,10,21.6
21.1,16.1,10.5,10,21.4
21,17.7,10.2,8,22.2
19,17.7,9.8,10,19.3
20,17.7,9.9,10,20.1
20,17.7,10,10,19.9
19.7,17.7,9.6,10,19.1
