flour,oil,water,ice,y
21,17.7,10.2,8,22.2
19,17.7,9.8,10,19.333
20,17.7,9.9,10,20.111
20,17.7,10,10,19.889
19.7,17.7,9.6,10,19.111
20.6,18.6,11.6,9,21.333
20.4,18.6,11.6,10,20.8
20.3,18.6,11.3,6.5,23.667
22.1,18.5,11,7.5,22.5
20.1,19.1,10.8,7.5,22.111
22.2,15.9,10.1,7.5,24
21.5,16.3,10.8,7.5,23.667
21.1,15.8,10.3,7.5,23
20.5,16.1,9.9,7,22.111
20.1,16.1,9.8,10,21.2
21.1,16.1,10.5,10,21.889
21,16.1,10.6,10,21.2
21.1,16.5,10.5,7.5,22.6
21.1,16.5,10.6,10,20.6
10.9,16.5,9.9,10,20.5
21,16.5,9.8,10,20.333
20.8,16.5,10,10,20.6
21,16.5,9.9,10,20.2
20.8,16.3,10,7.5,21.667
20.3,15.8,9.7,10,20
20.5,16,9.9,7.5,21.5
20.3,16,10,7.5,21.333
